DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1007/978-3-030-73200-4_47,LSTM Based Sentiment Analysis for Cryptocurrency Prediction,"Xin Huang, Wenbin Zhang, Yiyi Huang, Xuejiao Tang, Mingli Zhang, Jayachander Surbiryala, Vasileios Iosifidis, Zhen Liu, Ji Zhang",International Conference on Database Systems for Advanced Applications,2021,"Recent studies in big data analytics and natural language processing develop automatic techniques in analyzing sentiment in the social media information. In addition, the growing user base of social media and the high volume of posts also provide valuable sentiment information to predict the price fluctuation of the cryptocurrency. This research is directed to predicting the volatile price movement of cryptocurrency by analyzing the sentiment in social media and finding the correlation between them. While previous work has been developed to analyze sentiment in English social media posts, we propose a method to identify the sentiment of the Chinese social media posts from the most popular Chinese social media platform Sina-Weibo. We develop the pipeline to capture Weibo posts, describe the creation of the crypto-specific sentiment dictionary, and propose a long short-term memory (LSTM) based recurrent neural network along with the historical cryptocurrency price movement to predict the price trend for future time frames. The conducted experiments demonstrate the proposed approach outperforms the state of the art auto regressive based model by 18.5% in precision and 15.4% in recall.",bb821c34-460c-4b14-beff-eb9b410227f1,96,34,(missing PubMedId)
10.32996/JCSTS.2024.6.1.7,Harmonizing Macro-Financial Factors and Twitter Sentiment Analysis in Forecasting Stock Market Trends,"Md Shahedul Amin, Eftekhar Hossain Ayon, Bishnu Padh Ghosh, Md Salim Chowdhury MD, Mohammad Shafiquzzaman Bhuiyan, Rasel Mahmud Jewel, Ahmed Ali Linkon",Journal of Computer Science and Technology Studies,2024,"The surge in generative artificial intelligence technologies, exemplified by systems such as ChatGPT, has sparked widespread interest and discourse prominently observed on social media platforms like Twitter. This paper delves into the inquiry of whether sentiment expressed in tweets discussing advancements in AI can forecast day-to-day fluctuations in stock prices of associated companies. Our investigation involves the analysis of tweets containing hashtags related to ChatGPT within the timeframe of December 2022 to March 2023. Leveraging natural language processing techniques, we extract features, including positive/negative sentiment scores, from the collected tweets. A range of classifier machine learning models, encompassing gradient boosting, decision trees and random forests, are employed to train on tweet sentiments and associated features for the prediction of stock price movements among key companies, such as Microsoft and OpenAI. These models undergo training and testing phases utilizing an empirical dataset gathered during the stipulated timeframe. Our preliminary findings reveal intriguing indications suggesting a plausible correlation between public sentiment reflected in Twitter discussions surrounding ChatGPT and generative AI and the subsequent impact on market valuation and trading activities concerning pertinent companies, gauged through stock prices. This study aims to forecast bullish or bearish trends in the stock market by leveraging sentiment analysis derived from an extensive dataset comprising 500,000 tweets. In conjunction with this sentiment analysis derived from Twitter, we incorporate control variables encompassing macroeconomic indicators, Twitter uncertainty index and stock market data for several prominent companies.",3c03f034-202b-4399-b8e0-4d7e403f505a,19,34,(missing PubMedId)
10.1145/3365109.3368785,Cryptocurrency Price Prediction using Time Series and Social Sentiment Data,"Yan Pang, G. Kharmega Sundararaj, Jiewen Ren",Elements,2020,"With data accumulated at a rapid phase through multiple channels, algorithmic trading becomes critical in stock markets and crypto markets. In algorithmic trading, an innovative approach to integrating machine learning can provide data-driven solutions to help people invest with minimal risk and maximum returns. This study explores various machine learning techniques to model the nonlinear relationship between bitcoin prices and social sentiment data and predict the price values with some lead time. Also, the cryptocurrency market is very volatile and lacking strict governing bodies and regulators across regions making it more complex and challenging to predict the prices. Through the analysis, it is found that the sentiment data model is superior in capturing the nonlinear relationship compared to the conventional methods of technical indicators and decision trees, while the neural network models are robust and offer better accuracy in predicting bitcoin price.",6e80dba5-ef77-4eca-bbd1-5ad24231a499,20,14,(missing PubMedId)
10.1109/ACCESS.2024.3399548,Stock Market Prediction With Transductive Long Short-Term Memory and Social Media Sentiment Analysis,"Ali Peivandizadeh, Sima Hatami, Amirhossein Nakhjavani, Lida Khoshsima, Mohammad Reza Chalak Qazani, Muhammad Abdel Haleem, Roohallah Alizadehsani",IEEE Access,2023,"In an era dominated by digital communication, the vast amounts of data generated from social media and financial markets present unique opportunities and challenges for forecasting stock market prices. This paper proposes an innovative approach that harnesses the power of social media sentiment analysis combined with stock market data to predict stock prices, directly addressing the critical challenges in this domain. A major challenge in sentiment analysis is the uneven distribution of data across different sentiment categories. Traditional models struggle to accurately identify fewer common sentiments (minority class) due to the overwhelming presence of more common sentiments (majority class). To tackle this, we introduce the Off-policy Proximal Policy Optimization (PPO) algorithm, specifically designed to handle class imbalance by adjusting the reward mechanism in the training phase, thus favoring the correct classification of minority class instances. Another challenge is effectively integrating the temporal dynamics of stock prices with sentiment analysis results. Our solution is implementing a Transductive Long Short-Term Memory (TLSTM) model that incorporates sentiment analysis findings with historical stock data. This model excels at recognizing temporal patterns and gives precedence to data points that are temporally closer to the prediction point, enhancing the prediction accuracy. Ablation studies confirm the effectiveness of the Off-policy PPO and TLSTM components on the overall model performance. The proposed approach advances the field of financial analytics by providing a more nuanced understanding of market dynamics but also offers actionable insights for investors and policymakers seeking to navigate the complexities of the stock market with greater precision and confidence.",cc692c96-76ca-47fa-9def-3f66a04becc4,34,62,(missing PubMedId)
10.1007/978-3-030-73200-4_47,LSTM Based Sentiment Analysis for Cryptocurrency Prediction,"Xin Huang, Wenbin Zhang, Xuejiao Tang, Mingli Zhang, Jayachander Surbiryala, Vasileios Iosifidis, Zhen Liu, Ji Zhang,  Ji Zhang",Lecture Notes in Computer Science,2021,"Recent studies in big data analytics and natural language processing develop automatic techniques in analyzing sentiment in the social media information. In addition, the growing user base of social media and the high volume of posts also provide valuable sentiment information to predict the price fluctuation of the cryptocurrency. This research is directed to predicting the volatile price movement of cryptocurrency by analyzing the sentiment in social media and finding the correlation between them. While previous work has been developed to analyze sentiment in English social media posts, we propose a method to identify the sentiment of the Chinese social media posts from the most popular Chinese social media platform Sina-Weibo. We develop the pipeline to capture Weibo posts, describe the creation of the crypto-specific sentiment dictionary, and propose a long short-term memory (LSTM) based recurrent neural network along with the historical cryptocurrency price movement to predict the price trend for future time frames. The conducted experiments demonstrate the proposed approach outperforms the state of the art auto regressive based model by 18.5% in precision and 15.4% in recall.",5a505bc1-1e12-4ee3-b9f2-098aa5878cd9,103,35,(missing PubMedId)
10.1109/IISA56318.2022.9904351,Cryptocurrency Price Prediction using Social Media Sentiment Analysis,"Sotirios Oikonomopoulos, Katerina Tzafilkou, Dimitrios Karapiperis, Vassilios S. Verykios","International Conference on Information, Intelligence, Systems and Applications",2022,"In a paper that was anonymously published and signed by the pseudonym Satoshi Nakamoto, Bitcoin was introduced to the world. Due to its enormous success, a great number of cryptocurrencies were created in the upcoming years. This exponential growth relies mostly on the extreme volatility of the market, which led many people to become interested and get involved, primarily for profit. Cryptocurrency enthusiasts tend to share and learn news and opinions on social media platforms, one of the most popular being Twitter. In this paper, we study the extent to which Twitter sentiment analysis can be used to predict price fluctuations for cryptocurrencies. Initially, we gathered tweets and price data of seven of the most popular cryptocurrencies, which were processed to perform sentiment analysis using Valence Aware Dictionary for Sentiment Reasoning (VADER). The time-series stationarity was determined with Augmented Dicky Fuller (ADF) Kwiatkowski Phillips Schmidt Shin (KPSS) tests and then Granger Causality testing took place. While price fluctuations seem to cause sentiment for Bitcoin, Cardano, XRP and Doge, predictability was found for Ethereum and Polkadot, based on a bullishness ratio. Finally, predictability of price returns is examined with Vector Autoregression (VAR) and highly accurate forecasts for two of the seven cryptocurrencies were achieved. More specifically, price forecasts of Ethereum’s and Polkadot’s prices reached 99.67% and 99.17% accuracy, respectively.",a4368115-c47b-4748-9628-fd480d7deaca,30,40,(missing PubMedId)
10.1007/S00521-024-10807-W,Forecasting stock market volatility using social media sentiment analysis,"Christina Saravanos, Andreas Kanavos",Neural computing & applications (Print),2024,(missing abstract),7a7fce57-2406-4899-8aa2-112d499d2577,8,98,(missing PubMedId)
10.48550/ARXIV.2204.10185,Social Media Sentiment Analysis for Cryptocurrency Market Prediction,"Ali Raheman, Anton Kolonin, Igors Fridkins, Ikram Ansari, Mukul Vishwas",arXiv.org,2022,". In this paper, we explore the usability of different natural language processing models for the sentiment analysis of social media applied to financial market prediction, using the cryptocurrency domain as a reference. We study how the different sentiment metrics are correlated with the price movements of Bitcoin. For this purpose, we explore different methods to calculate the sentiment metrics from a text finding most of them not very accurate for this prediction task. We find that one of the models outperforms more than 20 other public ones and makes it possible to fine-tune it efficiently given its interpretable nature. Thus we confirm that interpretable artificial intelligence and natural language processing methods might be more valuable practically than non-explainable and non-interpretable ones. In the end, we analyze potential causal connections between the different sentiment metrics and the price movements.",9b381cbe-c8e1-4ce2-9a04-a9e095be53ee,14,24,(missing PubMedId)
(missing DOI),Cryptocurrency Price Prediction Using News and Social Media Sentiment,"Eric  Nielsen,  Eric  Redondo,  Connor  Lamon",(missing journal),2016,"This project analyzes the ability of news and social media data to predict price fluctuations for three cryptocurrencies: bitcoin, litecoin and ethereum. Traditional supervised learning algorithms were utilized for text-based sentiment classification, but with a twist. Daily news and social media data was labeled based on actual price changes one day in the future for each coin, rather than on positive or negative sentiment. By taking this approach, the model is able to directly predict price fluctuations instead of needing to first predict sentiment. The final version of the model was able to correctly predict, on average, the days with the largest percent increases and percent decreases in price for bitcoin and ethereum over the 67 days encompassing the test set.",a79387a7-a7ee-4134-81d7-0b62a5427be5,0,0,(missing PubMedId)
10.1016/J.ESWA.2015.07.052,Sentiment analysis on social media for stock movement prediction,"Thien Hai Nguyen, Kiyoaki Shirai, Julien Velcin",Expert systems with applications,2015,"The goal of this research is to build a model to predict stock price movement using the sentiment from social media. Unlike previous approaches where the overall moods or sentiments are considered, the sentiments of the speciﬁc topics of the company are incorporated into the stock prediction model. Topics and related sentiments are automatically extracted from the texts in a message board by using our proposed method as wellasexistingtopicmodels.Inaddition,thispapershowsanevaluationoftheeffectivenessofthesentiment analysis in the stock prediction task via a large scale experiment. Comparing the accuracy average over 18 stocksinoneyeartransaction,ourmethodachieved2.07%betterperformancethanthemodelusinghistorical prices only. Furthermore, when comparing the methods only for the stocks that are diﬃcult to predict, our methodachieved9.83% better accuracythanhistoricalpricemethod,and3.03%better thanhumansentiment method.",e2f76bcf-5ad5-44bc-bb6a-2d599c586fb3,719,105,(missing PubMedId)
10.1111/EXSY.12493,Advanced social media sentiment analysis for short‐term cryptocurrency price prediction,Krzysztof Wołk,Expert Syst. J. Knowl. Eng.,2020,"In recent years, the scrutiny of bitcoin and other cryptocurrencies as legal and regulated components of financial systems has been increasing. Bitcoin is currently one of the largest cryptocurrencies in terms of capital market share. Therefore, this study proposes that sentiment analysis can be used as a computational tool to predict the prices of bitcoin and other cryptocurrencies for different time intervals. A key characteristic of the cryptocurrency market is that the fluctuation of currency prices depends on people's perceptions and opinions, not institutional money regulation. Therefore, analysing the relationship between social media and web search is crucial for cryptocurrency price prediction. This study uses Twitter and Google Trends to forecast the short‐term prices of the primary cryptocurrencies, as these social media platforms are used to influence purchasing decisions. The study adopts and interpolates a unique multimodel approach to analyse the impact of social media on cryptocurrency prices. Our results prove that people's psychological and behavioural attitudes have a significant impact on the highly speculative cryptocurrency prices.",ac4ff385-447d-4373-aa2b-447e2d31696b,122,39,(missing PubMedId)
10.5121/CSIT.2023.130302,Cryptocurrency Price Prediction using Twitter Sentiment Analysis,"GB Haritha, Sahana N.B","Natural Language Processing, Information Retrieval and AI",2023,"The cryptocurrency ecosystem has been the centre of discussion on many social media platforms, following its noted volatility and varied opinions. Twitter is rapidly being utilised as a news source and a medium for bitcoin discussion. Our algorithm seeks to use historical prices and sentiment of tweets to forecast the price of Bitcoin. In this study, we develop an end-to-end model that can forecast the sentiment of a set of tweets (using a Bidirectional Encoder Representations from Transformers - based Neural Network Model) and forecast the price of Bitcoin (using Gated Recurrent Unit) using the predicted sentiment and other metrics like historical cryptocurrency price data, tweet volume, a user's following, and whether or not a user is verified. The sentiment prediction gave a Mean Absolute Percentage Error of 9.45%, an average of real-time data, and test data. The mean absolute percent error for the price prediction was 3.6%.",bee97d33-877f-47bd-9f6c-2708e3ba1a45,15,9,(missing PubMedId)